schema_version	run_id	run_kind	artifact_type	path	size_bytes	sha256
4	C2-L03-SOFTMIN-T0P1-S42-20260815T051002692632Z-b1c1cd3eabfc-s42	formal	run_status	/root/autodl-tmp/BoT-reid-c2l03-soft-min-alignment-formal-v1/experiment_records/runs/C2-L03-SOFTMIN-T0P1-S42-20260815T051002692632Z-b1c1cd3eabfc-s42/run_status.json	342	a57a200bde2339d4a72cc0aae89bed8b32095491d407ddfeb6328c369cf548e1
4	C2-L03-SOFTMIN-T0P1-S42-20260815T051002692632Z-b1c1cd3eabfc-s42	formal	training_log	/root/autodl-tmp/experiments/BoT/c2l03_soft_min_alignment_tau0p1_seed42_market1501/log.txt	600092	748944c6aae8af085cb4485ef0dd5ef0fd0fa5bf7343177dfa14413bbc605c07
4	C2-L03-SOFTMIN-T0P1-S42-20260815T051002692632Z-b1c1cd3eabfc-s42	formal	checkpoint	/root/autodl-tmp/experiments/BoT/c2l03_soft_min_alignment_tau0p1_seed42_market1501/resnet50_checkpoint_14880.pt	301106068	977505ae031ac7d75c728c11b13812400b71700a6702f5fadc8e1fa80a4b3772
4	C2-L03-SOFTMIN-T0P1-S42-20260815T051002692632Z-b1c1cd3eabfc-s42	formal	selected_checkpoint	/root/autodl-tmp/experiments/BoT/c2l03_soft_min_alignment_tau0p1_seed42_market1501/resnet50_checkpoint_22320.pt	301106068	be004186e77e2aa709b28ba0026cb1e028b7dad6e0627641249ae09cfbb73f90
4	C2-L03-SOFTMIN-T0P1-S42-20260815T051002692632Z-b1c1cd3eabfc-s42	formal	checkpoint	/root/autodl-tmp/experiments/BoT/c2l03_soft_min_alignment_tau0p1_seed42_market1501/resnet50_checkpoint_7440.pt	301106068	13c47bcf81ff5f50182b236eb1fb90d3bedf70455c6031e7a9b2f4233eb386c0
4	C2-L03-SOFTMIN-T0P1-S42-20260815T051002692632Z-b1c1cd3eabfc-s42	formal	analysis_summary	analysis_summary.json	401	392a91a88410c8ff5635bc9a5c59ad3fe7e7b131cf7e59354acdd65561fa3b0f
4	C2-L03-SOFTMIN-T0P1-S42-20260815T051002692632Z-b1c1cd3eabfc-s42	formal	anchor_coverage	anchor_coverage.json	908	7b8f6fef4caa4d6d32029af219000e7c7076827849785ac3b32b347540278623
4	C2-L03-SOFTMIN-T0P1-S42-20260815T051002692632Z-b1c1cd3eabfc-s42	formal	checkpoint_manifest	checkpoint_manifest.tsv	890	546fa0060c8f71ceb51fa05868e8d14cf41e2f056f308be7a3686887ac40fb02
4	C2-L03-SOFTMIN-T0P1-S42-20260815T051002692632Z-b1c1cd3eabfc-s42	formal	resolved_config	config_resolved.yml	1708	5f7c118368e4e57399754d824800a5f0cc507e83529c9e7dab1fbbb35b728600
4	C2-L03-SOFTMIN-T0P1-S42-20260815T051002692632Z-b1c1cd3eabfc-s42	formal	source_config	config_source.yml	1490	74f50e5eeefc5de694acd7013be0d58600415041107e1ae39de9a373ca5440b4
4	C2-L03-SOFTMIN-T0P1-S42-20260815T051002692632Z-b1c1cd3eabfc-s42	formal	console_log	console.log	601630	6ad70ed22aa745c5b44d3aba4f3bd0686fd5c908bbb991fb5aafd2cb5a185db8
4	C2-L03-SOFTMIN-T0P1-S42-20260815T051002692632Z-b1c1cd3eabfc-s42	formal	dataset_manifest	dataset_manifest.json	988	42c61919dea7f2a85921910b58aa4b597b59a039bf939517cf3b9087401ad1b0
4	C2-L03-SOFTMIN-T0P1-S42-20260815T051002692632Z-b1c1cd3eabfc-s42	formal	distance_distribution	distance_distribution.json	2127	f5b988599b35e25cf31d9cd15b56ae4936ec2668198b6a35589adbf7014b6a84
4	C2-L03-SOFTMIN-T0P1-S42-20260815T051002692632Z-b1c1cd3eabfc-s42	formal	efficiency_profile	efficiency_profile.json	733	9943a3d96dc3020885cc3b56a1dca20177351e5e27ca9d59819f132153c127d1
4	C2-L03-SOFTMIN-T0P1-S42-20260815T051002692632Z-b1c1cd3eabfc-s42	formal	environment	environment.json	1224	2c6f918f70f2e634414d91b5986020e293ab11049e1a3e66e5fa2c425ad338fb
4	C2-L03-SOFTMIN-T0P1-S42-20260815T051002692632Z-b1c1cd3eabfc-s42	formal	environment_packages	environment_packages.txt	4031	256626ecc745211b89b938bc1c69e3dd76d8ddcbbb6fbae3de18f9fa2d4461f4
4	C2-L03-SOFTMIN-T0P1-S42-20260815T051002692632Z-b1c1cd3eabfc-s42	formal	feature_compatibility	feature_compatibility.json	4186	12d5d8a57db228fee98319eacec990a37a061a21e694c4d41fbdace5135392ef
4	C2-L03-SOFTMIN-T0P1-S42-20260815T051002692632Z-b1c1cd3eabfc-s42	formal	metrics_summary	metrics_summary.json	1329	82f6c5b4eb1cbb124bdee09163e1c26e5e9b85319c65d08db7a9f4688d1ce495
4	C2-L03-SOFTMIN-T0P1-S42-20260815T051002692632Z-b1c1cd3eabfc-s42	formal	model_manifest	model_manifest.json	13986	325ddc9ba3e8f0e7895fa38c4ed90989eea7543d510c9860f61cacb951eb8354
4	C2-L03-SOFTMIN-T0P1-S42-20260815T051002692632Z-b1c1cd3eabfc-s42	formal	reproducibility	reproducibility.json	899	3d0f53cce672b1c58362ed64dfd7dbd1b11e1f320e93d95a018a84bcf50e05fc
4	C2-L03-SOFTMIN-T0P1-S42-20260815T051002692632Z-b1c1cd3eabfc-s42	formal	run_status	run_status.json	403	6fedcfcb700e71946e20c7972a8fd9244163cb6b0e4ecf90d50ec5c5e565e72c
4	C2-L03-SOFTMIN-T0P1-S42-20260815T051002692632Z-b1c1cd3eabfc-s42	formal	validation_history	validation_history.jsonl	822	9681e6eb398f7792b6d0930f7f38c26971cd11be96ca689d3ae0c44855c02fcf
